CustomerID,Lookalikes
C0001,"[('C0056', 0.09), ('C0107', 0.15), ('C0174', 0.25)]"
C0002,"[('C0029', 0.04), ('C0031', 0.08), ('C0052', 0.34)]"
C0003,"[('C0073', 0.64), ('C0134', 0.68), ('C0111', 0.8)]"
C0004,"[('C0113', 0.36), ('C0068', 0.39), ('C0012', 0.53)]"
C0005,"[('C0131', 0.05), ('C0186', 0.15), ('C0085', 0.31)]"
C0006,"[('C0079', 0.01), ('C0117', 0.11), ('C0026', 0.37)]"
C0007,"[('C0167', 0.15), ('C0074', 0.26), ('C0050', 0.27)]"
C0008,"[('C0084', 0.6), ('C0093', 0.74), ('C0021', 1.12)]"
C0009,"[('C0083', 0.58), ('C0058', 0.94), ('C0198', 0.96)]"
C0010,"[('C0027', 0.46), ('C0197', 0.47), ('C0142', 0.51)]"
C0011,"[('C0064', 0.17), ('C0107', 0.35), ('C0183', 0.35)]"
C0012,"[('C0046', 0.22), ('C0013', 0.48), ('C0155', 0.49)]"
C0013,"[('C0046', 0.32), ('C0155', 0.42), ('C0102', 0.47)]"
C0014,"[('C0033', 0.1), ('C0060', 0.13), ('C0150', 0.14)]"
C0015,"[('C0123', 0.13), ('C0043', 0.45), ('C0078', 0.46)]"
C0016,"[('C0152', 0.27), ('C0164', 0.43), ('C0137', 0.45)]"
C0017,"[('C0162', 0.21), ('C0113', 0.22), ('C0101', 0.48)]"
C0018,"[('C0182', 0.36), ('C0148', 0.37), ('C0114', 0.54)]"
C0019,"[('C0172', 0.28), ('C0116', 0.31), ('C0088', 0.53)]"
C0020,"[('C0080', 0.05), ('C0095', 0.98), ('C0063', 1.0)]"
